ski_pass,godina,vreme_nesrece,value,date1,date1_ts,
30-1078-01-48275 27,2005,3/5/2005 15:30,Karaman greben,3/5/2005 15:30,5195358,3607.8875
30-1078-03-26734 16,2005,3/6/2005 12:25,Karaman greben,3/6/2005 12:25,5270660,3660.180556
14-1078-02-47389 14,2005,3/6/2005 16:00,Karaman greben,3/6/2005 16:00,5283569,3669.145139
30-1078-01-51532-25,2005,3/15/2005 11:00,Karaman greben,3/15/2005 11:00,6043153,4196.634028
14-1078-03-26423-16,2005,3/15/2005 11:37,Karaman greben,3/15/2005 11:37,6045387,4198.185417
30-1078-01-52834 24,2005,3/16/2005 12:42,Karaman greben,3/16/2005 12:42,6135694,4260.898611
,2005,3/19/2005 15:25,Karaman greben,3/19/2005 15:25,6404687,4447.699306
30-1078-02-51545 13,2005,3/21/2005 16:00,Karaman greben,3/21/2005 16:00,6579587,4569.157639
30-1078-03-29769 16,2005,3/23/2005 11:10,Karaman greben,3/23/2005 11:10,6734975,4677.065972
30-1078-03-29839 16,2005,3/25/2005 16:15,Karaman greben,3/25/2005 16:15,6926098,4809.790278
14-1078-04-40006-25,2005,3/27/2005 11:55,Karaman greben,3/27/2005 11:55,7083263,4918.932639
30-1078-01-56588 13,2005,3/29/2005 13:03,Karaman greben,3/29/2005 13:03,7260143,5041.765972
30-1078-03-30947 25,2005,4/2/2005 13:45,Karaman greben,4/2/2005 13:45,7608262,5283.515278
30-1078-02-53374-21,2005,12/13/2005 11:30,Karaman greben,12/13/2005 11:30,29632186,20577.90694
30-1078-02-53609,2005,12/14/2005 13:00,Karaman greben,12/14/2005 13:00,29723983,20641.65486
14-1078-02-55622 16,2005,12/24/2005 14:30,Karaman greben,12/24/2005 14:30,30593351,21245.38264
,2005,12/25/2005 14:20,Karaman greben,12/25/2005 14:20,30679198,21304.99861
30-1078-02-56891 16,2005,12/29/2005 11:55,Karaman greben,12/29/2005 11:55,31016064,21538.93333
30-1078-04-4032515,2005,12/29/2005 12:55,Karaman greben,12/29/2005 12:55,31019677,21541.44236
14-1078-03-3217116,2006,1/2/2006 13:20,Karaman greben,1/2/2006 13:20,31366777,21782.48403
14-1078-02-5706 32,2006,1/2/2006 15:50,Karaman greben,1/2/2006 15:50,31375761,21788.72292
30-1078-01-60909 14,2006,1/3/2006 13:30,Karaman greben,1/3/2006 13:30,31453799,21842.91597
14-1078-03-325-73 16,2006,1/3/2006 15:25,Karaman greben,1/3/2006 15:25,31460694,21847.70417
14-1078-02-59941 32,2006,1/4/2006 13:15,Karaman greben,1/4/2006 13:15,31539255,21902.26042
30-1078-02-60119 35,2006,1/5/2006 14:02,Karaman greben,1/5/2006 14:02,31628510,21964.24306
30-1078-02-58233 30,2006,1/6/2006 14:21,Karaman greben,1/6/2006 14:21,31716010,22025.00694
30-1078-01-61678 30,2006,1/6/2006 14:30,Karaman greben,1/6/2006 14:30,31716605,22025.42014
30-1078-04-42657-25,2006,1/8/2006 12:00,Karaman greben,1/8/2006 12:00,31880365,22139.14236
14-1079-02-60995 32,2006,1/8/2006 12:50,Karaman greben,1/8/2006 12:50,31883362,22141.22361
30-1078-03-33515 16,2006,1/8/2006 13:15,Karaman greben,1/8/2006 13:15,31884852,22142.25833
14-1078-03-34104 16,2006,1/8/2006 13:40,Karaman greben,1/8/2006 13:40,31886369,22143.31181
14-1078-02-61892 30,2006,1/9/2006 13:00,Karaman greben,1/9/2006 13:00,31970387,22201.65764
14-1078-01-63629 14,2006,1/10/2006 11:00,Karaman greben,1/10/2006 11:00,32049596,22256.66389
61108-30,2006,1/13/2006 13:45,Karaman greben,1/13/2006 13:45,32318692,22443.53611
14-1078-01-66111 14,2006,1/15/2006 14:00,Karaman greben,1/15/2006 14:00,32492374,22564.14861
14-107803-358616,2006,1/16/2006 14:45,Karaman greben,1/16/2006 14:45,32581465,22626.01736
3539916,2006,1/16/2006 15:00,Karaman greben,1/16/2006 15:00,32582407,22626.67153
3539916,2006,1/16/2006 15:10,Karaman greben,1/16/2006 15:10,32583003,22627.08542
14-1078-03-3496816,2006,1/17/2006 12:01,Karaman greben,1/17/2006 12:01,32658057,
14-1073-01-66968 18,2006,1/18/2006 15:30,Karaman greben,1/18/2006 15:30,32756988,
14-1078-01-65978-14,2006,1/20/2006 12:25,Karaman greben,1/20/2006 12:25,32918698,
30-1078-03-36027 16,2006,1/20/2006 13:02,Karaman greben,1/20/2006 13:02,32920883,
11-1078-02-65758 18,2006,1/21/2006 11:00,Karaman greben,1/21/2006 11:00,32999999,
30-1078-02-65927-18,2006,1/21/2006 14:25,Karaman greben,1/21/2006 14:25,33012262,
30-1078-01-68227-30,2006,1/21/2006 15:30,Karaman greben,1/21/2006 15:30,33016158,
30-1078-04-46089 32,2006,1/22/2006 10:15,Karaman greben,1/22/2006 10:15,33083662,
30-1078-01-69098 15,2006,1/24/2006 11:25,Karaman greben,1/24/2006 11:25,33260689,
14-1078-01-68685-15,2006,1/25/2006 13:15,Karaman greben,1/25/2006 13:15,33353709,
14-18032001750291857-7,2006,1/28/2006 11:10,Karaman greben,1/28/2006 11:10,33605374,
30-1078-04-46992 25,2006,1/28/2006 15:30,Karaman greben,1/28/2006 15:30,33620961,
14-1078-01-7060715,2006,1/29/2006 10:10,Karaman greben,1/29/2006 10:10,33688171,
14-1078-07-39498 16,2006,1/29/2006 11:55,Karaman greben,1/29/2006 11:55,33694482,
14-1078-01-6981114,2006,1/29/2006 12:10,Karaman greben,1/29/2006 12:10,33695364,
30-1078-02-67901 18,2006,1/31/2006 12:05,Karaman greben,1/31/2006 12:05,33867905,
30-1078-03-39373 16,2006,1/31/2006 15:15,Karaman greben,1/31/2006 15:15,33879292,
14-1078-03-40091 16,2006,2/2/2006 15:20,Karaman greben,2/2/2006 15:20,34052352,
30-1078-03-40189,2006,2/4/2006 12:20,Karaman greben,2/4/2006 12:20,34214396,
14-1078-01-73140 15,2006,2/7/2006 14:50,Karaman greben,2/7/2006 14:50,34482605,
30-1078-03-4227216,2006,2/11/2006 12:30,Karaman greben,2/11/2006 12:30,34819782,
14-1078-03-42-583-16,2006,2/11/2006 13:05,Karaman greben,2/11/2006 13:05,34821851,
30-1078-04-49492 30,2006,2/12/2006 15:00,Karaman greben,2/12/2006 15:00,34915154,
14-1078-03-43348 16,2006,2/13/2006 11:15,Karaman greben,2/13/2006 11:15,34988070,
14-1078-01-7433514,2006,2/13/2006 14:10,Karaman greben,2/13/2006 14:10,34998550,
,2006,2/13/2006 18:12,Karaman greben,2/13/2006 18:12,35013087,
14-1078-02 1873 18,2006,2/15/2006 16:02,Karaman greben,2/15/2006 16:02,35178105,
14-1078-03 43847 16,2006,2/18/2006 14:37,Karaman greben,2/18/2006 14:37,35432195,
30-1078-01-73757 15,2006,2/19/2006 13:15,Karaman greben,2/19/2006 13:15,35513665,
30 1078 03 44780 16,2006,2/20/2006 11:06,Karaman greben,2/20/2006 11:06,35592345,
30-1078-03-45626 16,2006,2/23/2006 10:55,Karaman greben,2/23/2006 10:55,35850896,
30 1078 01 7820415,2006,2/23/2006 11:00,Karaman greben,2/23/2006 11:00,35851205,
30-1078-02-74670 30,2006,2/23/2006 11:30,Karaman greben,2/23/2006 11:30,35852994,
30-1078-02-7334018,2006,2/23/2006 13:15,Karaman greben,2/23/2006 13:15,35859253,
30-1078-04-5118825,2006,2/23/2006 15:10,Karaman greben,2/23/2006 15:10,35866197,
30-1078-01-76572 15,2006,2/23/2006 15:15,Karaman greben,2/23/2006 15:15,35866493,
30-1078-03-46463 16,2006,2/26/2006 9:43,Karaman greben,2/26/2006 9:43,36105730,
14 107802 75656 13,2006,2/26/2006 15:00,Karaman greben,2/26/2006 15:00,36124763,
30-1078-03-47013 16,2006,2/27/2006 13:30,Karaman greben,2/27/2006 13:30,36205789,
??-1078-02-75576 13,2006,2/27/2006 15:25,Karaman greben,2/27/2006 15:25,36212689,
30-1078-01-78800 18,2006,2/27/2006 15:40,Karaman greben,2/27/2006 15:40,36213558,
30-1078-02-75277 32,2006,2/28/2006 12:01,Karaman greben,2/28/2006 12:01,36286828,
14-1078-02-74259 32,2006,2/28/2006 13:45,Karaman greben,2/28/2006 13:45,36293101,
30-1078-03-48257 16,2006,3/6/2006 12:20,Karaman greben,3/6/2006 12:20,36806351,
30-1078-01-81249 14,2006,3/10/2006 14:20,Karaman greben,3/10/2006 14:20,37159178,
30-1078-02-79407 32,2006,3/12/2006 11:45,Karaman greben,3/12/2006 11:45,37322691,
30-1078-04-55866 30,2006,3/16/2006 14:00,Karaman greben,3/16/2006 14:00,37676366,
30-1078-02-81415 13,2006,3/23/2006 13:00,Karaman greben,3/23/2006 13:00,38277563,
30-1078-02-820455 16,2006,3/24/2006 11:00,Karaman greben,3/24/2006 11:00,38356752,
nije naplaćivan,2007,12/26/2006 12:30,Karaman greben,12/26/2006 12:30,62294982,
nije naplaćivan,2007,12/27/2006 12:00,Karaman greben,12/27/2006 12:00,62379578,
nije naplaćivan,2007,12/27/2006 12:15,Karaman greben,12/27/2006 12:15,62380488,
nije naplaćivan,2007,12/27/2006 12:40,Karaman greben,12/27/2006 12:40,62381970,
nije naplaćivan,2007,12/28/2006 13:15,Karaman greben,12/28/2006 13:15,62470472,
nije naplaćivan,2007,12/28/2006 13:45,Karaman greben,12/28/2006 13:45,62472266,
nije naplaćivan,2007,12/30/2006 13:00,Karaman greben,12/30/2006 13:00,62642353,
nije naplaćivan,2007,12/30/2006 14:10,Karaman greben,12/30/2006 14:10,62646603,
14-1078....4813 10,2007,12/31/2006 12:45,Karaman greben,12/31/2006 12:45,62727870,
30-1078-01-89412 25,2007,12/31/2006 14:20,Karaman greben,12/31/2006 14:20,62733561,
30-1078-01-88992 25,2007,12/31/2006 14:45,Karaman greben,12/31/2006 14:45,62735094,
30-1078-03-54750 39,2007,1/1/2007 10:10,Karaman greben,1/1/2007 10:10,62804962,
10-1078-0285626 10,2007,1/2/2007 12:40,Karaman greben,1/2/2007 12:40,62900408,
30-1078-02-85511 10,2007,1/3/2007 10:46,Karaman greben,1/3/2007 10:46,62979911,
14-1078-02-86563 10,2007,1/3/2007 14:40,Karaman greben,1/3/2007 14:40,62993969,
30-1078-04-58457 8,2007,1/3/2007 16:50,Karaman greben,1/3/2007 16:50,63001808,
/,2007,1/4/2007 15:35,Karaman greben,1/4/2007 15:35,63083693,
30-1078-02-85546 10,2007,1/5/2007 9:50,Karaman greben,1/5/2007 9:50,63149386,
30-1078-04-60938 25,2007,1/9/2007 13:15,Karaman greben,1/9/2007 13:15,63507263,
30-1078-01 92591-8,2007,1/9/2007 14:25,Karaman greben,1/9/2007 14:25,63511507,
30-1078-01-92204 39,2007,1/9/2007 16:10,Karaman greben,1/9/2007 16:10,63517795,
30-1078-03-57560 30,2007,1/10/2007 11:15,Karaman greben,1/10/2007 11:15,63586480,
30-1078-01-92361 39,2007,1/10/2007 12:35,Karaman greben,1/10/2007 12:35,63591279,
30-1078-02-89169 10,2007,1/10/2007 13:40,Karaman greben,1/10/2007 13:40,63595170,
30-1078-02-89258 9,2007,1/10/2007 14:00,Karaman greben,1/10/2007 14:00,63596384,
14-1078-04-61368 40,2007,1/13/2007 11:45,Karaman greben,1/13/2007 11:45,63847452,
30-1078-11-5261 38,2007,1/13/2007 13:41,Karaman greben,1/13/2007 13:41,63854422,
14-1078-01-94484 25,2007,1/14/2007 14:50,Karaman greben,1/14/2007 14:50,63944951,
14-1078-03-59049 30,2007,1/15/2007 11:30,Karaman greben,1/15/2007 11:30,64019404,
14-1078-03-5859 30 ,2007,1/15/2007 12:14,Karaman greben,1/15/2007 12:14,64022004,
14-1078-01-94-725 40,2007,1/15/2007 15:05,Karaman greben,1/15/2007 15:05,64032264,
30-1078-02-90607 10,2007,1/16/2007 15:45,Karaman greben,1/16/2007 15:45,64121082,
30-1078-02-90155 10,2007,1/19/2007 14:10,Karaman greben,1/19/2007 14:10,64374599,
14-1078-01-96576 25,2007,1/22/2007 13:55,Karaman greben,1/22/2007 13:55,64632904,
14-1078-04-64143 33,2007,1/24/2007 13:30,Karaman greben,1/24/2007 13:30,64804199,
30-1078-02-92891 10,2007,1/26/2007 15:05,Karaman greben,1/26/2007 15:05,64982661,
14-1078-01-98519 25,2007,1/30/2007 16:12,Karaman greben,1/30/2007 16:12,65332328,
30-1078-01-98449 25,2007,2/2/2007 15:41,Karaman greben,2/2/2007 15:41,65589610,
30-1078 02 94690...,2007,2/7/2007 14:10,Karaman greben,2/7/2007 14:10,66016171,
30-1078-03-62238 11,2007,2/8/2007 12:30,Karaman greben,2/8/2007 12:30,66096580,
30-1078-03-62591 40,2007,2/9/2007 14:30,Karaman greben,2/9/2007 14:30,66190201,
30-1078-04-67250 25,2007,2/12/2007 11:31,Karaman greben,2/12/2007 11:31,66438642,
1.41078E+15,2007,2/12/2007 12:35,Karaman greben,2/12/2007 12:35,66442455,
30-1078-06-1636-30,2007,2/13/2007 13:25,Karaman greben,2/13/2007 13:25,66531861,
14-1078-04-6756840,2007,2/13/2007 15:11,Karaman greben,2/13/2007 15:11,66538212,
30-1078-01-102930 11,2007,2/16/2007 11:00,Karaman greben,2/16/2007 11:00,66782372,
30-1078-03-64075 30,2007,2/16/2007 12:05,Karaman greben,2/16/2007 12:05,66786289,
14-1078-03-63210 30,2007,2/16/2007 12:25,Karaman greben,2/16/2007 12:25,66787502,
30-1078-02-97538 10,2007,2/17/2007 14:30,Karaman greben,2/17/2007 14:30,66881360,
30-1078-01-102061 39,2007,2/18/2007 12:00,Karaman greben,2/18/2007 12:00,66958791,
30-1078-04-68044 40,2007,2/18/2007 14:15,Karaman greben,2/18/2007 14:15,66966897,
30-1078-01-68767 40,2007,2/18/2007 15:18,Karaman greben,2/18/2007 15:18,66970687,
nema,2007,2/18/2007 15:50,Karaman greben,2/18/2007 15:50,66972562,
30-1078-06-2182 41,2007,2/20/2007 11:20,Karaman greben,2/20/2007 11:20,67129166,
30-1078-01-103834 11,2007,2/20/2007 11:35,Karaman greben,2/20/2007 11:35,67130064,
14-1078-01-103539 11,2007,2/20/2007 13:40,Karaman greben,2/20/2007 13:40,67137592,
14-1078-02-99307 40,2007,2/20/2007 16:05,Karaman greben,2/20/2007 16:05,67146292,
4-1078-01-104410 39,2007,2/22/2007 13:20,Karaman greben,2/22/2007 13:20,67309152,
30-1078-01-104057 39,2007,2/22/2007 16:35,Karaman greben,2/22/2007 16:35,67320884,
30-1078-11-6611 8,2007,2/23/2007 11:32,Karaman greben,2/23/2007 11:32,67389117,
30-1078-0298201 39,2007,2/24/2007 11:45,Karaman greben,2/24/2007 11:45,67476285,
14-1078-01-105137 39,2007,2/24/2007 15:33,Karaman greben,2/24/2007 15:33,67489984,
izlizan (nije moglo da se pročita),2007,2/26/2007 14:42,Karaman greben,2/26/2007 14:42,67659680,
zaposlen u JP Skijališta Srbije,2007,2/27/2007 14:40,Karaman greben,2/27/2007 14:40,67745984,
14-1078-01-106295 39,2007,2/28/2007 15:25,Karaman greben,2/28/2007 15:25,67835075,
30-1078-01-106903 38,2007,3/1/2007 12:40,Karaman greben,3/1/2007 12:40,67911565,
30-1078-02-100882 25,2007,3/2/2007 16:30,Karaman greben,3/2/2007 16:30,68011755,
30-1078-02-101093 10,2007,3/3/2007 10:20,Karaman greben,3/3/2007 10:20,68075958,
30-1078-02-101076 10,2007,3/3/2007 12:25,Karaman greben,3/3/2007 12:25,68083480,
,2007,3/4/2007 18:15,Karaman greben,3/4/2007 18:15,68190906,
30-1078-03-67533 38,2007,3/5/2007 16:25,Karaman greben,3/5/2007 16:25,68270697,
30-1078-01-105831 38,2007,3/6/2007 10:50,Karaman greben,3/6/2007 10:50,68337005,
30 1076 01 108157 39,2007,3/6/2007 14:35,Karaman greben,3/6/2007 14:35,68350496,
30-1078-01-107790 39,2007,3/7/2007 13:00,Karaman greben,3/7/2007 13:00,68431209,
30-1078-04-71028 40,2007,3/8/2007 14:48,Karaman greben,3/8/2007 14:48,68524085,
30-1078-02-105230,2007,3/12/2007 9:50,Karaman greben,3/12/2007 9:50,68851806,
14-1078-04-72143 40,2007,3/12/2007 10:30,Karaman greben,3/12/2007 10:30,68854165,
30-1078-04-7214740,2007,3/12/2007 14:36,Karaman greben,3/12/2007 14:36,68868954,
30-1078-02-104891,2007,3/16/2007 9:50,Karaman greben,3/16/2007 9:50,69197407,
30-1078-02-106315 10,2007,3/18/2007 15:34,Karaman greben,3/18/2007 15:34,69390846,
30-1078-04-72364 25,2007,3/20/2007 11:20,Karaman greben,3/20/2007 11:20,69548375,
30-1078-01-111316 11,2007,3/20/2007 14:15,Karaman greben,3/20/2007 14:15,69558907,
1078-02-107840 10,2007,3/29/2007 13:45,Karaman greben,3/29/2007 13:45,70334656,
30-1078-01-112879 38,2007,3/29/2007 15:15,Karaman greben,3/29/2007 15:15,70340079,
30-1078-01-112862 38,2007,3/29/2007 15:50,Karaman greben,3/29/2007 15:50,70342195,
14-1078-01-116069 11,2007,4/12/2007 14:12,Karaman greben,4/12/2007 14:12,71545893,
30 1078-01-116554 42,2007,12/1/2007 15:01,Karaman greben,12/1/2007 15:01,91680018,
30-1078-02-118600 39,2007,12/22/2007 12:53,Karaman greben,12/22/2007 12:53,93486736,
30-1614 7256 2504 4005 5050-9,2007,12/25/2007 12:30,Karaman greben,12/25/2007 12:30,93744586,
30-1078-04-75821 38,2007,12/25/2007 12:45,Karaman greben,12/25/2007 12:45,93745478,
30-1078-03-74382 8,2007,12/26/2007 11:20,Karaman greben,12/26/2007 11:20,93826777,
30-1073-03-75417 40,2007,12/27/2007 12:15,Karaman greben,12/27/2007 12:15,93916463,
30-1078-04?3954? 38 ,2007,12/27/2007 14:00,Karaman greben,12/27/2007 14:00,93922800,
30-1078-01-119072 11,2007,12/28/2007 9:40,Karaman greben,12/28/2007 9:40,93993574,
30-1078-01-120202 32,2007,12/28/2007 10:15,Karaman greben,12/28/2007 10:15,93995678,
30-1078-02-120862 10,2007,12/30/2007 11:30,Karaman greben,12/30/2007 11:30,94172955,
30-1078-03-76120 11,2007,12/30/2007 12:10,Karaman greben,12/30/2007 12:10,94175407,
\,2007,12/31/2007 15:15,Karaman greben,12/31/2007 15:15,94272854,
14-1078-02-121818 36,2008,1/1/2008 11:02,Karaman greben,1/1/2008 11:02,94344075,
3.01078E+15,2008,1/3/2008 14:00,Karaman greben,1/3/2008 14:00,94527601,
30-1078-03-76221 11,2008,1/3/2008 14:30,Karaman greben,1/3/2008 14:30,94529362,
30-1078-01-122359 38,2008,1/4/2008 13:00,Karaman greben,1/4/2008 13:00,94610407,
30-1078-04-77044 40,2008,1/4/2008 14:30,Karaman greben,1/4/2008 14:30,94615775,
30-1078-0377328 36,2008,1/4/2008 15:25,Karaman greben,1/4/2008 15:25,94619081,
30-1078-24-1336 49,2008,1/6/2008 9:48,Karaman greben,1/6/2008 9:48,94771654,
/,2008,1/6/2008 13:02,Karaman greben,1/6/2008 13:02,94783314,
30-1078-11-7051 37,2008,1/7/2008 11:20,Karaman greben,1/7/2008 11:20,94863568,
30-1078-24-99449,2008,1/7/2008 13:45,Karaman greben,1/7/2008 13:45,94872280,
30-1078-24-1848 94,2008,1/9/2008 11:15,Karaman greben,1/9/2008 11:15,95036082,
30-1078-04-78218 46,2008,1/10/2008 12:28,Karaman greben,1/10/2008 12:28,95126881,
30-1078-01-122988 40,2008,1/10/2008 15:46,Karaman greben,1/10/2008 15:46,95138710,
30-1078-02-124403 36,2008,1/10/2008 16:00,Karaman greben,1/10/2008 16:00,95139601,
30-1078-24-1399 8,2008,1/11/2008 10:20,Karaman greben,1/11/2008 10:20,95205608,
30-1078-04-79123 36,2008,1/12/2008 13:51,Karaman greben,1/12/2008 13:51,95304615,
30-1078-21-1503 8,2008,1/12/2008 15:37,Karaman greben,1/12/2008 15:37,95311011,
30-1078-11 9152 44,2008,1/13/2008 15:20,Karaman greben,1/13/2008 15:20,95396360,
30-1078-24-2497 10,2008,1/14/2008 10:55,Karaman greben,1/14/2008 10:55,95466870,
30-1078-04-80205-36,2008,1/15/2008 13:40,Karaman greben,1/15/2008 13:40,95563155,
30-1078-04-80421 49,2008,1/16/2008 10:45,Karaman greben,1/16/2008 10:45,95639087,
30-1078-24-3116 38,2008,1/18/2008 14:55,Karaman greben,1/18/2008 14:55,95826872,
30-1078-11-9419 47,2008,1/19/2008 10:10,Karaman greben,1/19/2008 10:10,95896181,
30-1078-07-2061 40,2008,1/21/2008 10:03,Karaman greben,1/21/2008 10:03,96068540,
30-1078-02-126985 39,2008,1/21/2008 15:55,Karaman greben,1/21/2008 15:55,96089684,
14-1078-01-126882 45,2008,1/24/2008 11:44,Karaman greben,1/24/2008 11:44,96333825,
30-1078-01-126665 11,2008,1/24/2008 11:44,Karaman greben,1/24/2008 11:44,96333847,
30-1078-11-9874 8,2008,1/24/2008 15:00,Karaman greben,1/24/2008 15:00,96345578,
30-1078-03-81778 44,2008,1/26/2008 13:30,Karaman greben,1/26/2008 13:30,96513005,
30-1078-01-127745 10,2008,1/27/2008 9:45,Karaman greben,1/27/2008 9:45,96585870,
30-1078-01-127617 38,2008,1/27/2008 10:57,Karaman greben,1/27/2008 10:57,96590202,
30-1078-01-123184 10,2008,1/28/2008 10:22,Karaman greben,1/28/2008 10:22,96674511,
30-1078-07-2514 48,2008,1/28/2008 15:00,Karaman greben,1/28/2008 15:00,96691201,
30-1078-06-5451 47,2008,1/28/2008 15:08,Karaman greben,1/28/2008 15:08,96691670,
30-1078-06-5706 47,2008,1/29/2008 11:20,Karaman greben,1/29/2008 11:20,96764384,
31-078-01-128076 10,2008,1/29/2008 13:05,Karaman greben,1/29/2008 13:05,96770684,
30-1078-11-10068 8,2008,1/29/2008 14:20,Karaman greben,1/29/2008 14:20,96775168,
30-1078-01-128486 25,2008,1/29/2008 15:05,Karaman greben,1/29/2008 15:05,96777865,
30-1078-07-2471 44,2008,1/30/2008 15:40,Karaman greben,1/30/2008 15:40,96866378,
30-1078-01-128015 11,2008,1/31/2008 13:45,Karaman greben,1/31/2008 13:45,96945881,
30-1078-07-2665 25,2008,2/1/2008 13:00,Karaman greben,2/1/2008 13:00,97029575,
30-1078-01-129121 46,2008,2/3/2008 13:02,Karaman greben,2/3/2008 13:02,97202497,
30 1078 03 83574 40,2008,2/4/2008 14:15,Karaman greben,2/4/2008 14:15,97293274,
30-1078-03-83730 43,2008,2/4/2008 16:10,Karaman greben,2/4/2008 16:10,97300190,
30-1078-02-129586 38,2008,2/5/2008 12:00,Karaman greben,2/5/2008 12:00,97371595,
30-1078-24-445346,2008,2/7/2008 11:23,Karaman greben,2/7/2008 11:23,97542146,
30-1078-03-83-91311,2008,2/7/2008 11:35,Karaman greben,2/7/2008 11:35,97542896,
14-1078-04-83007 10,2008,2/8/2008 9:20,Karaman greben,2/8/2008 9:20,97621204,
fis board takmicar,2008,2/8/2008 13:05,Karaman greben,2/8/2008 13:05,97634707,
SEZONSKI,2008,2/9/2008 13:00,Karaman greben,2/9/2008 13:00,97720772,
SEZONSKI,2008,2/9/2008 15:30,Karaman greben,2/9/2008 15:30,97729760,
-30-1078-02-131330 39,2008,2/10/2008 14:00,Karaman greben,2/10/2008 14:00,97810777,
30-1078-03-83816 43,2008,2/10/2008 15:15,Karaman greben,2/10/2008 15:15,97815277,
30-1078-01-130490 11,2008,2/11/2008 11:15,Karaman greben,2/11/2008 11:15,97887309,
